"X" "date" "Rl_downwell" "AT_mbar" "Rs_downwell" "rH" "T_b_1477" "D_g_1477" "F_1_s_g_1477" "Rnet"
"14814" "2017-08-04 05:30:00" 339.945828647987 860.40010218355 68.3433075195134 89.4455205828121 6.57650474757873 247.750581709957 0.636863321708702 49.1824757481035
"14815" "2017-08-04 06:00:00" 341.899452594454 860.332077418878 71.6944443674115 88.2270370871411 6.7666486007945 286.616601130351 0.990304690756281 53.6237513476213
"14816" "2017-08-04 06:30:00" 341.130479790722 860.146895437845 123.203252945975 87.0702265812889 6.96451421266734 255.83704324996 1.23846454224737 92.3174829944117
"14817" "2017-08-04 07:00:00" 340.810781911001 860.253005746127 169.445074248589 85.7015209134999 7.36465604988877 255.057894320186 0.758972940716159 122.307528829098
"14818" "2017-08-04 07:30:00" 340.11242458616 860.252318113362 204.590099743464 82.3018884449653 7.65254393408621 270.377422037839 1.57424594155801 151.212146964734
"14819" "2017-08-04 08:00:00" 340.026174377915 860.19035209268 142.069546236201 81.6048353856018 7.829275477297 291.358397867565 1.89279126082204 101.778150893895
"14820" "2017-08-04 08:30:00" 340.208848790923 859.965078952295 329.989750918641 82.2524609126981 8.0847215361997 285.214242624659 3.59042800925877 250.368311071197
"14821" "2017-08-04 09:00:00" 338.461975461419 859.947736965286 378.791036640181 80.3124845408446 8.2716454575565 290.383308181016 3.77756093173754 283.65137915884
"14822" "2017-08-04 09:30:00" 339.012833034872 859.949176913705 464.305772778698 79.3255952611428 8.69515256233367 287.232645903479 3.85189281806111 347.533662231023
"14823" "2017-08-04 10:00:00" 328.473105637627 859.951849845925 906.670949507483 78.5678005170751 9.16284399751832 282.995690836941 4.50755147606979 682.342531529468
"14824" "2017-08-04 10:30:00" 314.052922366062 859.952811881189 785.204990756912 75.8781615249716 9.4279243867284 283.998643378227 4.77322455808036 567.961872727397
"14825" "2017-08-04 11:00:00" 324.02699046102 859.963740193496 615.244292350768 74.99619886564 9.52437647707595 275.923823753407 4.34061445205984 443.968593748928
"14826" "2017-08-04 11:30:00" 325.576783536056 860.093474836742 200.399130516944 64.9234278439148 9.75892054674088 306.485447230239 3.62318472623011 122.046559190879
"14827" "2017-08-04 12:00:00" 332.363089157127 860.224708318716 178.601685502766 69.1633755691833 9.37855833033122 296.949359467693 4.15421026535145 117.684368439882
"14828" "2017-08-04 12:30:00" 341.272563020635 860.143203421123 345.455588718133 72.5349652928085 9.35123596781646 287.953758417508 4.56835801767632 254.608911476771
